Date,PM10,PM2.5,Wind speed,Wind dir,Temp,Rel hum,index,,
2013-10-08,21.09090909,16.90909091,1.413636364,142.9545455,26.26363636,62,2.979387052,08-10-13,TRUE
2013-10-09,56.20833333,44.25,0.729166667,228.5,27.83333333,62,2.948057209,09-10-13,TRUE
2013-10-10,37.20833333,28.625,0.891666667,235.2083333,29.29583333,62,2.813983586,10-10-13,TRUE
2013-10-11,50.5,37.54166667,0.7375,243.125,28.9,62,3.219949495,11-10-13,TRUE
2013-10-12,89.45833333,62.83333333,0.85,194.25,30.14166667,62,1.746875,12-10-13,TRUE
2013-10-13,73.83333333,52.625,1.054166667,239.0416667,30.5375,62,0.857986111,13-10-13,TRUE
2013-10-14,66.875,44.375,1.25,283.4583333,30.3,62,3.091666667,14-10-13,TRUE
2013-10-15,71.33333333,45.25,1.208333333,283.0833333,30.52916667,62,3.299337121,15-10-13,TRUE
2013-10-16,37.625,25.75,0.8125,250.5416667,25.84583333,62,3.218989899,16-10-13,TRUE
2013-10-17,21.66666667,16.5,0.958333333,173.4166667,26.625,62,2.971258418,17-10-13,TRUE
2013-10-18,22.91666667,16.08333333,0.920833333,224.9583333,28.3625,62,3.505997475,18-10-13,TRUE
2013-10-19,33,21.29166667,0.729166667,111.5416667,26.69166667,62,1.242708333,19-10-13,TRUE
2013-10-20,47.58333333,24.66666667,0.5125,80.33333333,26.9875,62,0.479166667,20-10-13,TRUE
2013-10-21,46.04347826,27.73913043,0.913043478,100.173913,28.59130435,62,1.755072464,21-10-13,TRUE
2013-10-22,69.75,44.70833333,0.8,193.5833333,28.40416667,62,2.233491162,22-10-13,TRUE
2013-10-23,74.58333333,46.95833333,0.658333333,173.875,27.67916667,62,0.970833333,23-10-13,TRUE
2013-10-24,83.20833333,55.79166667,0.516666667,128.2916667,27.7625,62,2.433333333,24-10-13,TRUE
2013-10-25,95.75,68,0.7875,108.9583333,28.79583333,62,3.118273359,25-10-13,TRUE
2013-10-26,104.5833333,70.70833333,0.616666667,107.875,27.45833333,62,1.693402778,26-10-13,TRUE
2013-10-27,123.625,91.58333333,0.470833333,101.7916667,27.2375,62,0.775915404,27-10-13,TRUE
2013-10-28,94.41666667,71.83333333,1.041666667,157.0416667,28.57916667,62,2.547380051,28-10-13,TRUE
2013-10-29,63.375,45.58333333,0.758333333,217.0833333,28.64583333,62,2.652304293,29-10-13,TRUE
2013-10-30,120.9166667,84.125,0.570833333,123.5416667,28.5625,62,3.248724748,30-10-13,TRUE
2013-10-31,101.75,65.54166667,0.775,195.9583333,29.06666667,62,3.360133929,31-10-13,TRUE
2013-11-01,73.91666667,39.79166667,0.804166667,164.8333333,30.125,62,3.248674242,01-11-13,TRUE
2013-11-02,78.29166667,45.58333333,0.804166667,206.4166667,29.04166667,62,2.078611111,02-11-13,TRUE
2013-11-03,88.29166667,52.41666667,0.516666667,79.75,28.88333333,62,0.930018939,03-11-13,TRUE
2013-11-04,92.33333333,56.875,0.783333333,59.70833333,27.9,62,2.719087302,04-11-13,TRUE
2013-11-05,108.7083333,66.54166667,0.758333333,34.375,28.52083333,62,3.396196339,05-11-13,TRUE
2013-11-06,85.33333333,49.125,0.704166667,42.79166667,29.525,62,3.493131313,06-11-13,TRUE
2013-11-07,66.29166667,35.83333333,0.908333333,63.45833333,27.53333333,62,3.725862193,07-11-13,TRUE
2013-11-08,36.58333333,23.125,1.045833333,88.58333333,24.75,62,3.952009379,08-11-13,TRUE
2013-11-09,78.83333333,48.29166667,0.525,83.91666667,27.4625,62,2.365972222,09-11-13,TRUE
2013-11-10,83.375,48.20833333,0.633333333,118.9166667,28.3,62,2.05625,10-11-13,TRUE
2013-11-11,57.875,34.875,0.75,261.6666667,28.91666667,62,3.116176347,11-11-13,TRUE
2013-11-12,63.33333333,40.29166667,0.7375,230.75,28.95,62,3.384851641,12-11-13,TRUE
2013-11-13,80.83333333,51.70833333,0.545833333,219.4166667,29.10833333,62,3.733883478,13-11-13,TRUE
2013-11-14,77.5,46.08333333,0.570833333,171.625,26.75,62,3.884699675,14-11-13,TRUE
2013-11-15,53.08333333,24.75,0.745833333,121.1666667,27.75833333,62,3.944261364,15-11-13,TRUE
2013-11-16,54.66666667,28.875,0.6625,55,25.40833333,62,2.683270202,16-11-13,TRUE
2013-11-17,66.29166667,31.70833333,0.9,114.2083333,27.42916667,62,1.677777778,17-11-13,TRUE
2013-11-18,87.70833333,52.75,0.5,133.2083333,27.60416667,62,3.194707492,18-11-13,TRUE
2013-11-19,113.8,68.46666667,0.38,225.8666667,27.01333333,62,3.544030784,19-11-13,TRUE
2013-11-20,115.25,66.29166667,0.725,68.25,27.8625,62,3.583963745,20-11-13,TRUE
2013-11-21,109.7916667,55.45833333,0.591666667,29.58333333,28.1,62,3.643087121,21-11-13,TRUE
2013-11-22,96.5,51.625,0.633333333,55.125,27.74583333,62,4.022427399,22-11-13,TRUE
2013-11-23,85.54166667,45.625,0.808333333,91.16666667,28.55833333,62,2.632765152,23-11-13,TRUE
2013-11-24,57.20833333,33.16666667,0.516666667,229.7083333,26.35833333,62,1.803055556,24-11-13,TRUE
2013-11-25,85.45833333,53.20833333,0.470833333,134.1666667,27.7625,62,3.108553391,25-11-13,TRUE
2013-11-26,67.75,44.25,0.583333333,158.25,28.05833333,62,3.328530844,26-11-13,TRUE
2013-11-27,91.16666667,52.25,0.5375,125.875,27.5125,62,3.656862374,27-11-13,TRUE
2013-11-28,80.375,45.58333333,0.970833333,118.0416667,29.32916667,62,3.58905754,28-11-13,TRUE
2013-11-29,79.41666667,38.33333333,0.745833333,51.20833333,27.525,62,3.803472222,29-11-13,TRUE
2013-11-30,104.9583333,62.33333333,0.545833333,35.875,26.15,62,3.344065657,30-11-13,TRUE
2013-12-01,96.25,58.91666667,0.7,32,27.9,62,1.442013889,01-12-13,TRUE
2013-12-02,107.4166667,66.58333333,0.616666667,79.125,26.7,62,2.404861111,02-12-13,TRUE
2013-12-03,140.5,92.41666667,0.7125,19.08333333,24.075,62,3.255555556,03-12-13,TRUE
2013-12-04,145,88.42857143,0.738095238,49.9047619,24.33333333,62,3.550974026,04-12-13,TRUE
2013-12-05,103.375,66.5,0.641666667,74.95833333,25.5625,62,1.367361111,05-12-13,TRUE
2013-12-06,115.5833333,70.70833333,0.4375,142.2916667,25.6875,62,2.834027778,06-12-13,TRUE
2013-12-07,101.75,70.58333333,0.729166667,151.5416667,25.61666667,62,1.732165404,07-12-13,TRUE
2013-12-08,115.3913043,96.69565217,0.560869565,168.0869565,24.78695652,62,1.425494071,08-12-13,TRUE
2013-12-09,151.625,122.4583333,0.579166667,91.29166667,24.35416667,62,2.555555556,09-12-13,TRUE
2013-12-10,151.3333333,114.625,0.645833333,151,24.275,62,1.521527778,10-12-13,TRUE
2013-12-11,168.1666667,123.0833333,0.691666667,126.6666667,24.24166667,62,3.651041667,11-12-13,TRUE
2013-12-12,175.625,126.0833333,0.625,143.625,25.425,62,3.831944444,12-12-13,TRUE
2013-12-13,148.5,115.125,0.5125,165.8333333,26.36666667,62,4.0125,13-12-13,TRUE
2013-12-14,107.25,79.79166667,0.595833333,177.0416667,27.35833333,62,2.75167298,14-12-13,TRUE
2013-12-15,71.375,51.66666667,1.020833333,229.2916667,27.76666667,62,1.476041667,15-12-13,TRUE
2013-12-16,37.25,24.45833333,0.8875,219.9166667,28.40833333,62,3.349283009,16-12-13,TRUE
2013-12-17,53.625,27.16666667,0.9125,33.16666667,24.025,62,4.068434343,17-12-13,TRUE
2013-12-18,91.58333333,62.375,0.9125,27,23.65833333,62,3.752083333,18-12-13,TRUE
2013-12-19,110.4583333,77.20833333,0.945833333,24.20833333,25.36666667,62,3.660763889,19-12-13,TRUE
2013-12-20,115.8333333,82.125,0.770833333,36.16666667,22.45833333,62,3.648926768,20-12-13,TRUE
2013-12-21,107.625,76.70833333,0.704166667,30.54166667,21.95416667,62,3.070486111,21-12-13,TRUE
2013-12-22,94.45833333,70.5,0.75,23.95833333,21.61666667,62,2.825347222,22-12-13,TRUE
2013-12-23,132.5,95.125,0.704166667,16.08333333,22.77083333,62,3.455208333,23-12-13,TRUE
2013-12-24,149.125,107.625,0.6,20.125,23.4125,62,4.241098485,24-12-13,TRUE
